ID,AvgTix,Rating,Tardies,Graveyards,Weekends,SickDays,PercSickOnFri,EmployeeDevHrs,ShiftSwapsReq,ShiftSwapsOffered
144853,156.3,3.50,1,1,1,5,0.40,2,3,2
143544,148.3,2.76,2,2,2,3,0.33,23,2,5
140842,160.8,3.31,3,2,0,0,0.00,17,1,0
144695,159.9,3.46,0,3,1,0,0.00,18,1,3
130564,148.8,4.48,2,3,1,1,1.00,5,3,2
144430,156.7,3.09,0,2,1,3,0.33,16,2,4
131385,159,2.96,1,2,1,1,1.00,0,4,7
132619,150.6,3.22,3,0,1,1,0.00,14,2,4
134078,152.1,3.29,2,2,1,5,1.00,14,1,0
145025,155.4,4.00,1,1,1,5,0.80,10,1,1
144857,154.6,3.22,0,1,2,0,0.00,15,2,1
143672,160.7,3.67,2,2,1,1,1.00,9,1,0
140188,154.5,3.55,2,1,1,1,0.00,0,2,4
144105,163.1,3.16,1,3,2,5,0.80,8,1,1
139958,154.2,3.65,4,3,1,1,1.00,17,2,1
142792,160.4,3.66,1,2,1,3,0.33,11,2,3
136609,153.7,3.98,2,0,0,4,0.00,16,2,3
142853,161.4,3.92,1,3,0,5,0.80,24,2,0
139060,162.2,3.45,0,3,2,0,0.00,11,1,2
132431,149.8,3.43,0,2,1,3,0.33,7,2,5
135028,150.7,3.33,1,1,1,1,1.00,12,1,0
131801,150.3,3.21,2,2,1,2,1.00,4,0,0
134577,158.6,3.64,2,2,1,2,0.00,20,2,1
143722,148.5,3.82,0,1,1,2,1.00,17,1,0
137532,161.1,3.44,1,1,0,3,0.33,4,1,0
135477,149.1,3.27,2,2,2,2,1.00,12,0,0
136354,161.7,3.59,1,1,1,3,0.67,12,1,0
143293,158,3.45,2,2,0,4,0.25,19,0,0
142354,163.9,3.40,1,2,2,2,1.00,10,0,2
133699,162.4,3.63,3,2,1,2,0.50,8,0,2
134179,156,3.30,2,2,0,0,0.00,10,3,3
142910,158.2,3.92,2,2,1,3,0.67,14,3,6
134839,161.1,3.20,0,3,1,0,0.00,13,1,0
134454,158.6,3.54,2,2,1,3,0.00,18,1,3
144128,156.6,3.94,2,1,1,0,0.00,21,1,0
135743,151.5,3.14,0,2,1,0,0.00,12,2,0
132373,161.7,3.29,1,0,1,0,0.00,14,3,0
136649,154.5,4.65,1,2,1,3,0.00,0,2,4
137482,152.1,3.53,2,2,1,4,0.75,7,3,2
138234,147.1,3.71,1,2,1,1,1.00,13,0,0
135345,149.6,3.89,0,2,1,0,0.00,14,1,2
143601,153.9,3.41,3,2,1,0,0.00,19,1,0
141828,159.5,2.97,2,1,2,1,0.00,12,1,0
132686,160.1,2.47,2,2,1,0,0.00,12,2,0
140087,155.7,3.99,2,2,1,1,1.00,24,4,4
142662,146.7,3.37,2,2,1,1,0.00,16,0,0
137279,154.7,3.00,1,2,0,1,1.00,15,0,0
137582,156.9,3.69,1,2,1,3,0.33,4,2,2
136474,163.8,2.42,1,1,1,0,0.00,14,2,2
140749,147.1,3.76,1,2,1,0,0.00,20,0,0
135048,156.8,3.87,2,2,1,6,0.17,21,2,2
140767,155.1,3.31,1,3,2,4,0.50,16,2,1
143009,158.6,3.25,0,1,1,3,0.67,34,2,1
133306,155.5,3.55,2,2,0,4,0.25,1,3,5
141875,149.1,3.30,1,1,2,3,1.00,0,3,6
132100,155.5,2.79,1,3,0,2,0.00,8,2,3
138618,158.9,2.96,3,2,1,1,1.00,19,2,3
136454,149,2.87,2,2,1,3,0.00,9,2,4
142228,157.6,3.71,1,1,1,2,0.50,21,0,3
135920,162.5,3.10,2,0,2,1,1.00,10,2,3
134694,159,2.77,1,2,1,1,1.00,15,3,5
134941,157,2.90,2,2,1,1,0.00,10,2,1
130946,159.9,4.23,1,3,2,1,0.00,0,1,0
134657,160.1,3.49,2,1,0,0,0.00,15,0,2
139767,159.7,3.84,2,2,1,0,0.00,19,0,0
142461,158.5,3.68,0,3,0,1,0.00,12,0,2
131385,161.5,4.81,1,2,0,2,0.00,22,0,0
134880,159.6,3.51,2,1,0,1,1.00,16,1,4
140016,152,3.80,2,2,1,2,0.00,23,1,0
134977,147.9,3.05,2,2,1,0,0.00,9,4,4
137079,156.8,4.04,2,3,1,4,0.25,7,1,0
137614,160.8,3.64,2,1,1,3,0.33,4,2,2
143038,158.2,3.65,2,2,0,2,0.50,9,1,3
144815,155.2,3.43,1,3,1,6,0.50,6,3,1
137930,154.7,4.17,0,1,1,1,0.00,10,2,5
142830,156.9,3.80,0,2,1,1,0.00,17,4,3
144038,148.2,3.71,1,1,1,3,0.67,6,3,9
131679,159.1,4.71,2,1,1,3,0.67,13,1,0
133041,161.7,3.26,2,2,1,0,0.00,13,1,0
133218,157,4.36,0,2,1,3,0.33,9,3,2
138921,152.6,3.94,2,3,1,0,0.00,5,1,3
144836,158.1,3.78,1,1,1,2,0.50,11,1,3
138265,156.5,3.83,2,2,1,0,0.00,12,1,0
143234,152.1,3.76,2,3,1,5,1.00,0,1,5
140484,152.6,3.45,2,2,1,2,1.00,13,3,6
137683,152.1,2.33,0,2,0,3,0.33,5,1,3
139709,155.5,2.98,3,2,1,1,0.00,2,2,0
140466,149.1,2.81,0,3,0,3,0.67,26,3,3
133829,160.4,3.82,2,1,1,0,0.00,26,3,2
143707,150.4,4.03,0,3,0,0,0.00,3,2,4
132162,152.4,3.33,0,2,1,3,0.67,14,3,1
133347,151.1,4.10,1,4,1,3,0.00,22,0,3
144967,167.4,3.35,3,1,1,1,1.00,5,1,0
133555,156.4,3.77,0,2,0,3,1.00,0,1,2
135447,155.7,3.91,1,1,1,0,0.00,12,1,0
140948,151.4,3.41,2,2,2,0,0.00,0,1,0
137014,166,3.02,2,0,1,2,0.50,12,0,0
140238,153.1,3.23,2,2,1,5,0.40,5,1,1
141665,162,3.79,1,2,1,0,0.00,17,1,2
130632,161.9,3.53,1,2,1,2,1.00,0,1,0
144360,150.6,2.73,1,2,1,0,0.00,12,3,3
130876,157.4,3.68,0,4,2,3,0.67,8,2,5
139472,152.6,3.32,1,2,0,2,0.50,16,2,4
132353,154.6,3.27,1,2,1,2,0.00,12,1,0
138328,155.2,3.34,1,1,0,0,0.00,4,1,0
137095,155.3,3.59,1,2,1,3,0.33,16,2,2
131897,163.4,3.54,2,2,1,0,0.00,0,2,1
140456,164,3.55,0,2,0,0,0.00,22,1,0
134754,152.6,2.78,2,2,1,4,0.50,20,2,0
130759,156.5,3.11,3,2,2,1,1.00,8,1,1
137486,162.9,3.39,0,2,1,2,0.50,12,0,0
138912,166.7,3.48,3,2,0,0,0.00,13,1,0
140880,162.1,3.31,0,2,1,1,1.00,11,0,0
141298,156.8,2.76,1,2,1,1,1.00,4,3,2
136874,160.2,4.33,1,2,1,5,1.00,3,2,1
141770,157.3,3.65,3,3,0,1,1.00,11,4,4
143623,158.4,4.23,3,2,0,3,1.00,27,0,1
132931,156.1,3.73,1,1,1,0,0.00,16,1,5
130885,151.9,3.49,1,3,2,0,0.00,23,0,1
135541,161.2,3.75,3,1,1,0,0.00,11,1,4
131642,150.3,3.40,1,3,1,1,0.00,19,2,2
141082,158.9,3.85,2,2,2,1,1.00,13,2,1
138265,162,3.25,1,2,1,4,0.25,15,3,3
134517,161.5,4.50,1,2,1,0,0.00,9,2,1
137799,154.2,3.51,1,1,1,0,0.00,29,1,1
137977,157,2.57,1,2,0,0,0.00,20,3,5
141042,154.6,3.93,2,1,1,2,0.00,5,2,1
133418,159.2,3.71,1,3,1,0,0.00,16,2,0
131688,153.2,4.02,1,1,1,6,0.33,0,0,0
137586,154.5,4.26,2,2,1,4,0.25,20,1,0
138249,160,3.23,2,2,0,0,0.00,12,2,2
130664,145.9,2.81,2,1,1,1,0.00,3,2,0
142732,153.4,3.02,2,1,1,5,0.40,29,1,0
144664,157.7,3.01,3,2,1,1,0.00,5,3,3
145152,154.1,2.73,1,1,0,4,0.50,13,2,3
141775,153.7,3.22,0,2,1,3,1.00,8,5,7
144501,146,3.53,1,2,2,2,0.50,9,0,1
141593,152.6,3.77,1,2,1,5,0.20,0,3,3
139624,148.6,3.84,2,1,0,1,0.00,19,1,3
136761,150.2,3.34,2,3,1,0,0.00,23,1,0
143882,150.3,3.10,3,2,1,1,1.00,19,1,2
137737,158,3.96,3,2,1,0,0.00,0,2,3
131851,163.1,3.27,2,3,1,1,1.00,19,2,0
138645,156.2,3.57,0,3,1,4,1.00,17,2,1
142399,156,3.64,4,3,1,1,0.00,21,1,0
135314,150.5,3.71,1,3,0,0,0.00,16,1,0
133155,161.7,2.41,1,2,1,0,0.00,18,2,0
144899,155.2,3.91,1,3,0,1,1.00,9,1,0
134458,147.7,3.88,1,0,1,2,0.00,16,1,1
141796,149.4,3.73,2,3,1,5,0.00,5,1,2
138686,157.8,4.11,1,2,2,3,0.67,1,1,2
137155,165.3,4.49,1,3,2,1,0.00,30,1,7
142940,155.7,3.06,1,1,1,6,0.00,12,2,1
141231,158.2,3.46,2,3,1,1,1.00,23,0,0
134409,154.1,3.94,0,2,1,2,0.50,0,0,0
132548,157.5,3.46,3,1,2,2,1.00,7,1,0
139962,155.7,3.84,2,3,0,0,0.00,7,1,0
142861,153.4,3.17,2,2,1,0,0.00,21,0,2
133776,160,2.91,2,1,1,1,1.00,11,1,0
137095,159.1,3.01,0,2,2,2,1.00,9,1,4
136316,161.2,3.71,1,3,1,2,0.00,9,2,4
141160,154,3.67,0,2,1,0,0.00,14,1,2
140184,164.6,3.64,1,1,1,6,1.00,15,1,1
130698,154.3,3.70,3,3,1,0,0.00,22,2,4
133790,158.7,3.15,1,3,0,3,0.00,0,1,1
136276,162.2,2.45,3,2,1,0,0.00,11,1,1
134057,157.3,2.88,2,2,1,3,1.00,21,0,2
136667,157.1,3.17,3,2,2,0,0.00,15,2,2
134738,153.4,3.53,2,2,1,2,0.50,0,1,0
144863,157.8,3.72,1,3,1,4,0.25,10,2,0
142920,155.2,3.48,1,2,2,6,0.17,18,2,6
133578,149.4,3.11,2,1,1,5,0.60,13,0,0
137866,153.9,3.35,1,3,1,3,0.00,4,2,1
134319,152.6,3.40,1,1,1,0,0.00,6,1,3
141090,151.5,3.43,3,2,1,2,1.00,5,3,4
133974,154.8,2.65,1,3,1,0,0.00,23,3,5
137044,154.1,3.75,2,1,1,2,0.50,15,2,3
134649,152.7,2.76,0,2,1,5,0.80,16,1,0
132781,152.8,2.92,1,2,1,3,0.67,20,3,4
135598,155.8,3.31,1,3,1,0,0.00,1,1,0
143787,153.4,2.96,1,3,1,1,1.00,21,0,0
140380,159.8,3.25,0,1,1,0,0.00,24,1,0
140658,148.3,3.87,2,3,0,0,0.00,8,0,0
138288,158.5,2.74,2,2,1,0,0.00,15,1,0
132328,155.1,3.97,0,2,2,4,0.75,14,1,1
139452,156.5,3.11,2,1,1,1,1.00,9,2,4
143774,158.8,3.09,1,1,1,2,0.50,2,2,4
138710,152.6,4.28,2,4,2,1,0.00,14,2,0
142961,158.2,2.79,2,2,1,2,0.50,12,0,0
142065,151.8,3.81,1,3,1,4,0.25,17,0,0
144832,151.6,2.54,1,3,1,3,0.33,2,3,3
133920,156.2,3.61,2,2,2,3,0.00,18,3,3
144232,154.4,3.10,1,2,1,0,0.00,6,2,2
131316,156.4,3.92,1,3,1,2,0.50,0,2,0
139530,166.1,4.01,3,1,2,4,0.25,18,1,0
134249,154.1,3.96,1,2,1,0,0.00,15,2,2
132259,162.1,3.32,1,2,2,0,0.00,24,2,0
134129,155.4,2.80,1,1,2,3,0.67,16,0,0
135988,157.1,3.86,0,3,2,6,0.67,0,1,4
142337,157.1,3.62,3,2,2,2,1.00,6,1,0
144249,157,2.86,2,2,1,3,0.67,18,2,2
133228,152.5,3.43,3,1,1,2,0.50,2,3,0
132046,165.2,4.07,1,2,1,1,1.00,13,3,3
136092,153.6,3.81,2,2,1,1,0.00,7,2,0
140238,155.1,3.67,1,1,0,1,0.00,15,3,6
130808,157.2,3.64,1,2,1,2,0.00,9,0,0
132089,159.6,4.03,2,2,1,0,0.00,10,1,0
132641,153.2,3.52,3,2,1,2,0.50,24,1,2
134766,153.7,3.62,2,1,0,3,0.67,5,2,3
140158,152.8,4.03,1,1,1,6,0.17,18,2,0
133974,158.4,3.75,4,3,0,3,0.67,2,3,2
134437,145.2,3.77,1,2,1,1,0.00,11,1,0
143335,162.3,4.03,1,2,1,3,1.00,0,1,1
141728,159.9,3.26,0,3,1,2,1.00,17,0,2
134379,159.6,3.86,0,1,2,2,1.00,17,1,1
143472,149.8,3.76,1,2,0,4,0.75,10,2,1
144076,155.7,3.02,2,2,0,0,0.00,14,2,4
143819,163.4,3.42,1,2,1,3,0.67,0,1,0
136718,151.9,3.60,0,3,1,1,0.00,9,1,2
142480,153.1,3.03,1,2,2,3,0.33,26,3,2
138166,154.4,3.63,1,1,1,0,0.00,26,0,0
136042,160,3.36,2,3,1,2,0.50,12,2,2
134999,155.4,3.27,2,3,1,1,0.00,13,0,0
137910,159.5,2.71,2,4,1,3,0.33,13,3,2
136944,161.3,3.92,1,1,0,2,0.00,11,0,0
136145,154.9,3.14,2,1,1,7,0.86,1,0,2
143406,145,2.33,3,1,0,6,0.83,30,4,0
145176,151.7,3.23,2,2,1,2,1.00,15,1,1
143091,159.3,2.92,1,3,2,0,0.00,21,2,4
138759,153.4,3.96,1,2,0,0,0.00,6,3,3
144013,150.2,3.79,1,2,2,5,0.20,15,0,0
138843,151.3,3.55,0,2,2,0,0.00,15,2,5
133915,162.1,3.08,1,2,0,6,0.83,8,1,2
131731,157.9,3.03,1,2,0,2,0.00,18,0,0
144570,155.3,3.23,2,1,1,2,0.00,2,2,3
139219,153.9,3.97,1,2,1,0,0.00,16,0,0
140601,156.4,3.01,1,3,1,2,0.00,3,2,4
140308,156.7,3.85,1,3,1,1,0.00,10,3,2
145100,154.7,3.28,0,2,1,3,0.67,9,2,3
136259,151.5,3.30,2,1,1,4,1.00,6,1,0
143941,163.4,3.04,2,1,1,0,0.00,9,1,0
140376,158.8,3.88,1,2,1,1,1.00,9,2,1
136365,155.6,3.79,2,2,1,0,0.00,26,3,0
137581,168.7,3.37,2,2,1,4,0.75,14,1,0
141467,158.7,4.34,2,1,0,2,0.50,7,2,3
132149,160,3.92,1,2,1,2,0.50,10,0,2
141343,159.1,3.60,4,1,0,0,0.00,17,0,2
143981,160.3,3.70,1,2,1,0,0.00,1,2,4
139820,162.6,3.37,2,3,1,1,1.00,6,1,3
144780,159.6,3.50,1,2,1,2,0.00,15,1,1
138420,155.4,4.29,3,3,1,2,0.50,18,1,3
131547,150.7,3.99,1,2,1,4,0.25,30,2,3
137942,160.6,3.87,1,1,1,2,1.00,16,1,0
