Client ID,Client Type,Number of Customers,Montly Target,Zip Code,Calendardate,Amount Collected,Unit Sold,Campaign (Email),Campaign (Flyer),Campaign (Phone),Sales Contact 1,Sales Contact 2,Sales Contact 3,Sales Contact 4,Sales Contact 5,Number of Competition
ID-987278,Large Facility ,3160,120,1003,19-05-2015,85236520,615,0,0,0,1612500,4192500,1.29E+06,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-06-2015,75008136,540,587861.6,2690836.8,0,645000,7740000,1.29E+06,0,0,Low
ID-987278,Large Facility ,3160,120,1003,17-07-2015,129559508,936,901598.2,5823060,0,322500,5482500,1.29E+06,0,0,Low
ID-987278,Large Facility ,3160,120,1003,16-08-2015,112512204,813,129000,0,0,0,8062500,645000,322500,0,Low
ID-987278,Large Facility ,3160,120,1003,16-09-2015,102283820,738,301000,0,0,0,3225000,967500,0,0,High
ID-987278,Large Facility ,3160,120,1003,16-10-2015,119331124,861,1084047.2,3432690,0,322500,4515000,1612500,645000,0,High
ID-987278,Large Facility ,3160,120,1003,16-11-2015,150016272,1083,0,4652062.5,0,0,7417500,1935000,0,0,High
ID-987278,Large Facility ,3160,120,1003,17-12-2015,132968968,960,0,5489087.6,0,0,0,0,0,0,High
ID-987279,Large Facility ,1280,70,1003,16-01-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-02-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987279,Large Facility ,1280,70,1003,18-03-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987279,Large Facility ,1280,70,1003,18-04-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987279,Large Facility ,1280,70,1003,19-05-2014,0,0,0,0,0,0,0,2902500,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-06-2014,0,0,711331.8,3525505.5,0,0,967500,2257500,322500,0,Low
ID-987279,Large Facility ,1280,70,1003,17-07-2014,0,0,0,0,0,0,645000,3225000,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-08-2014,0,0,0,0,0,0,1.29E+06,1935000,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-09-2014,0,0,661473.3,0,0,0,1.29E+06,2257500,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-10-2014,37504068,198,25606.5,0,0,0,645000,2.58E+06,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-11-2014,25570956,147,0,7948421,0,0,3547500,1935000,0,0,Low
ID-987279,Large Facility ,1280,70,1003,17-12-2014,23866224,171,0,0,0,0,967500,1612500,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-01-2015,27275684,198,318716,0,0,0,2257500,1935000,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-02-2015,10228384,147,0,0,0,0,2902500,967500,0,0,Low
ID-987279,Large Facility ,1280,70,1003,18-03-2015,34094608,246,0,0,0,0,3547500,645000,0,0,Low
ID-987279,Large Facility ,1280,70,1003,18-04-2015,37504068,270,0,6014212.2,0,0,6127500,0,0,0,Low
ID-987279,Large Facility ,1280,70,1003,19-05-2015,30685148,222,0,0,0,0,2902500,645000,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-06-2015,37504068,270,0,0,0,0,3.87E+06,967500,0,0,Low
ID-987279,Large Facility ,1280,70,1003,17-07-2015,34094608,246,514598.2,1791659.5,0,0,4837500,0,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-08-2015,27275684,198,0,0,0,0,4192500,322500,0,0,Low
ID-987279,Large Facility ,1280,70,1003,16-09-2015,23866224,171,0,0,0,0,3.87E+06,967500,0,0,High
ID-987279,Large Facility ,1280,70,1003,16-10-2015,20456764,147,1084047.2,0,0,0,5160000,0,0,0,High
ID-987279,Large Facility ,1280,70,1003,16-11-2015,20456764,147,0,0,0,0,4515000,0,0,0,High
ID-987279,Large Facility ,1280,70,1003,17-12-2015,27275684,198,0,0,0,0,1935000,0,0,0,High
ID-987280,Medium Facility,4000,180,1003,16-01-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-02-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987280,Medium Facility,4000,180,1003,18-03-2014,0,0,0,0,0,0,0,645000,0,0,Low
ID-987280,Medium Facility,4000,180,1003,18-04-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987280,Medium Facility,4000,180,1003,19-05-2014,0,0,0,0,0,0,0,9997500,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-06-2014,0,0,1422663.6,0,0,0,0,12577500,0,0,Low
ID-987280,Medium Facility,4000,180,1003,17-07-2014,0,0,55470,1005340,0,0,0,13545000,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-08-2014,0,0,30573,760068,0,0,0,12255000,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-09-2014,0,0,170280,0,0,0,0,10320000,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-10-2014,11933112,48,256065,1428649.2,0,0,0,15480000,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-11-2014,6818920,48,0,0,0,0,3225000,10642500,0,322500,Low
ID-987280,Medium Facility,4000,180,1003,17-12-2014,30685148,222,288478.4,4623772.8,0,0,322500,9352500,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-01-2015,107398012,738,2801364,0,0,0,322500,13545000,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-02-2015,76712868,516,0,0,0,0,0,1.29E+07,0,322500,Low
ID-987280,Medium Facility,4000,180,1003,18-03-2015,143197352,960,0,0,0,0,13222500,322500,0,0,Low
ID-987280,Medium Facility,4000,180,1003,18-04-2015,150016272,1083,0,2349786.6,0,322500,7740000,1.29E+06,0,0,Low
ID-987280,Medium Facility,4000,180,1003,19-05-2015,103988552,714,0,0,0,0,8062500,645000,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-06-2015,119331124,861,587861.6,2990757.5,0,0,11287500,967500,322500,0,Low
ID-987280,Medium Facility,4000,180,1003,17-07-2015,199453452,1401,1029196.4,1191478.4,0,0,11610000,1.29E+06,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-08-2015,163654116,1182,129000,4519945,0,0,10965000,0,0,0,Low
ID-987280,Medium Facility,4000,180,1003,16-09-2015,109102744,786,150500,1750710.6,0,0,1612500,0,0,0,High
ID-987280,Medium Facility,4000,180,1003,16-10-2015,172177768,1206,1626070.8,1112195,0,0,10320000,322500,0,0,High
ID-987280,Medium Facility,4000,180,1003,16-11-2015,61370292,444,0,1817042.4,0,0,10965000,322500,0,0,High
ID-987280,Medium Facility,4000,180,1003,17-12-2015,98874360,714,0,1180608,0,0,12255000,0,0,0,High
ID-987281,Large Facility ,1760,90,1003,16-01-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987281,Large Facility ,1760,90,1003,16-02-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987281,Large Facility ,1760,90,1003,18-03-2014,0,0,0,0,0,322500,2257500,322500,322500,0,Low
ID-987281,Large Facility ,1760,90,1003,18-04-2014,0,0,0,0,0,967500,3.87E+06,1.29E+06,645000,0,Low
ID-987281,Large Facility ,1760,90,1003,19-05-2014,0,0,0,0,0,645000,5482500,2257500,0,0,Low
ID-987281,Large Facility ,1760,90,1003,16-06-2014,0,0,1185553,0,0,0,5805000,3.87E+06,0,0,Low
ID-987281,Large Facility ,1760,90,1003,17-07-2014,15342572,75,221880,0,0,0,2.58E+06,4192500,0,0,Low
ID-987281,Large Facility ,1760,90,1003,16-08-2014,23866224,171,91719,4375035,0,0,2902500,3.87E+06,0,0,Low
ID-987281,Large Facility ,1760,90,1003,16-09-2014,30685148,222,3316989.9,2537928.8,0,0,3225000,2257500,0,0,Low
ID-987281,Large Facility ,1760,90,1003,16-10-2014,37504068,270,128032.5,1548000,0,0,7095000,2902500,0,0,Low
ID-987281,Large Facility ,1760,90,1003,16-11-2014,57960832,417,0,817653.6,0,322500,4192500,4192500,0,0,Low
ID-987281,Large Facility ,1760,90,1003,17-12-2014,63075024,417,0,1559610,0,0,1.29E+06,1935000,322500,0,Low
ID-987281,Large Facility ,1760,90,1003,16-01-2015,92055440,663,800574,1559610,0,1612500,4515000,5482500,645000,0,Low
ID-987281,Large Facility ,1760,90,1003,16-02-2015,97169632,663,0,1593150,0,1.29E+06,3225000,3.87E+06,645000,0,Low
ID-987281,Large Facility ,1760,90,1003,18-03-2015,107398012,738,296936.5,0,0,967500,1.29E+06,3225000,967500,0,Low
ID-987281,Large Facility ,1760,90,1003,18-04-2015,92055440,663,0,0,0,322500,2902500,2902500,1612500,0,Low
ID-987281,Large Facility ,1760,90,1003,19-05-2015,78417596,567,0,3954280,0,2.58E+06,1935000,2.58E+06,1935000,0,Low
ID-987281,Large Facility ,1760,90,1003,16-06-2015,95464900,690,146965.4,2680301.8,0,2257500,2.58E+06,1612500,1612500,0,Low
ID-987281,Large Facility ,1760,90,1003,17-07-2015,102283820,738,1416196.4,0,0,322500,967500,1935000,1612500,0,Low
ID-987281,Large Facility ,1760,90,1003,16-08-2015,95464900,690,0,4494893.2,0,1612500,322500,1.29E+06,1612500,0,Low
ID-987281,Large Facility ,1760,90,1003,16-09-2015,64779752,468,301000,0,0,645000,645000,645000,1.29E+06,0,High
ID-987281,Large Facility ,1760,90,1003,16-10-2015,83531788,567,813035.4,3088260,0,322500,2257500,3225000,2902500,0,High
ID-987281,Large Facility ,1760,90,1003,16-11-2015,75860500,603,0,0,0,2257500,2257500,3225000,1612500,0,High
ID-987281,Large Facility ,1760,90,1003,17-12-2015,98874360,714,0,4948440,0,645000,322500,645000,0,0,High
ID-987282,Medium Facility,2080,95,1003,16-01-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-02-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987282,Medium Facility,2080,95,1003,18-03-2014,0,0,0,0,0,0,322500,322500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,18-04-2014,0,0,0,0,0,0,2257500,0,0,0,Low
ID-987282,Medium Facility,2080,95,1003,19-05-2014,0,0,0,0,0,322500,967500,1612500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-06-2014,0,0,948442.4,199950,0,0,4192500,3.87E+06,0,0,Low
ID-987282,Medium Facility,2080,95,1003,17-07-2014,0,0,0,2023279,0,322500,3.87E+06,1935000,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-08-2014,0,0,0,252840,0,0,2902500,2.58E+06,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-09-2014,0,0,867774.4,0,0,0,3225000,2902500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-10-2014,0,0,76819.5,307020,0,0,4515000,2.58E+06,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-11-2014,6818920,48,334114.3,468270,0,0,4837500,3225000,0,0,Low
ID-987282,Medium Facility,2080,95,1003,17-12-2014,6818920,48,0,3150076.8,0,0,2.58E+06,1612500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-01-2015,17047304,123,533716,3162460.8,0,0,3225000,4837500,0,322500,Low
ID-987282,Medium Facility,2080,95,1003,16-02-2015,3409460,24,0,0,0,0,1935000,3225000,0,322500,Low
ID-987282,Medium Facility,2080,95,1003,18-03-2015,10228384,75,0,0,0,0,1.29E+06,2257500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,18-04-2015,13637844,99,0,2557683,0,0,0,5805000,0,0,Low
ID-987282,Medium Facility,2080,95,1003,19-05-2015,10228384,75,352600,2069375,0,0,0,3547500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-06-2015,20456764,147,587861.6,2050773.2,0,0,3547500,2.58E+06,0,0,Low
ID-987282,Medium Facility,2080,95,1003,17-07-2015,20456764,147,773299.1,0,0,0,1935000,2902500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-08-2015,20456764,147,387000,1795637,0,0,2902500,1612500,0,0,Low
ID-987282,Medium Facility,2080,95,1003,16-09-2015,30685148,222,602000,0,0,0,1935000,2.58E+06,0,0,High
ID-987282,Medium Facility,2080,95,1003,16-10-2015,51141912,369,542023.6,431212.6,0,0,2.58E+06,2902500,0,0,High
ID-987282,Medium Facility,2080,95,1003,16-11-2015,51141912,369,0,4111866.4,0,0,3225000,1935000,0,0,High
ID-987282,Medium Facility,2080,95,1003,17-12-2015,44322988,321,0,0,0,0,1935000,2257500,0,0,High
ID-987283,Large Facility ,2680,135,1003,16-01-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-02-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987283,Large Facility ,2680,135,1003,18-03-2014,0,0,0,0,0,0,645000,1612500,0,322500,Low
ID-987283,Large Facility ,2680,135,1003,18-04-2014,0,0,0,0,0,0,1935000,967500,0,645000,Low
ID-987283,Large Facility ,2680,135,1003,19-05-2014,0,0,0,0,0,0,2902500,1935000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-06-2014,0,0,1896884.8,2291418.4,0,0,5160000,3225000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,17-07-2014,0,0,166410,0,0,0,4837500,2257500,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-08-2014,0,0,91719,3657850.9,0,0,2902500,967500,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-09-2014,0,0,789183.3,0,0,0,4837500,322500,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-10-2014,0,0,25606.5,3063083.5,0,0,6772500,1.29E+06,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-11-2014,0,0,0,58050,0,0,3.87E+06,3225000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,17-12-2014,40913528,222,0,3054307.2,0,0,645000,3225000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-01-2015,13637844,99,1063648,2144250.9,0,0,5160000,1612500,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-02-2015,10228384,75,0,0,0,0,2257500,2.58E+06,0,0,Low
ID-987283,Large Facility ,2680,135,1003,18-03-2015,37504068,270,0,0,0,0,2902500,3225000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,18-04-2015,30685148,222,0,56760,0,0,5160000,1612500,0,0,Low
ID-987283,Large Facility ,2680,135,1003,19-05-2015,20456764,147,352600,0,0,0,2.58E+06,1935000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-06-2015,47732452,345,0,4004787.8,0,0,11287500,3547500,0,0,Low
ID-987283,Large Facility ,2680,135,1003,17-07-2015,68189216,492,1029196.4,0,0,0,6772500,4515000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-08-2015,54551372,393,814781.2,2325870,0,0,4192500,3225000,0,0,Low
ID-987283,Large Facility ,2680,135,1003,16-09-2015,57960832,417,150500,0,0,0,4192500,1.29E+06,0,0,High
ID-987283,Large Facility ,2680,135,1003,16-10-2015,64779752,468,813035.4,3350560,0,0,4515000,4192500,0,0,High
ID-987283,Large Facility ,2680,135,1003,16-11-2015,54551372,393,0,98040,0,0,5160000,2902500,0,0,High
ID-987283,Large Facility ,2680,135,1003,17-12-2015,61370292,444,0,124700,0,0,2257500,4515000,0,0,High
ID-987287,Small Facility ,960,30,1003,16-01-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-02-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987287,Small Facility ,960,30,1003,18-03-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987287,Small Facility ,960,30,1003,18-04-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987287,Small Facility ,960,30,1003,19-05-2014,0,0,0,0,0,0,0,3.87E+06,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-06-2014,0,0,0,0,0,0,645000,4515000,0,0,Low
ID-987287,Small Facility ,960,30,1003,17-07-2014,0,0,0,0,0,0,0,5160000,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-08-2014,0,0,0,0,0,0,2.58E+06,1935000,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-09-2014,0,0,0,0,0,0,0,4515000,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-10-2014,0,0,0,0,0,0,0,4837500,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-11-2014,0,0,0,0,0,0,0,2.58E+06,0,0,Low
ID-987287,Small Facility ,960,30,1003,17-12-2014,0,0,0,0,0,0,1612500,1612500,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-01-2015,0,0,0,0,0,0,0,4837500,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-02-2015,0,0,0,0,0,0,0,4192500,0,0,Low
ID-987287,Small Facility ,960,30,1003,18-03-2015,0,0,0,0,0,0,0,0,0,0,Low
ID-987287,Small Facility ,960,30,1003,18-04-2015,0,0,0,0,0,0,0,0,0,0,Low
ID-987287,Small Facility ,960,30,1003,19-05-2015,0,0,0,0,0,0,0,4515000,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-06-2015,0,0,0,0,0,0,322500,4515000,0,0,Low
ID-987287,Small Facility ,960,30,1003,17-07-2015,1704732,12,0,0,0,0,0,4515000,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-08-2015,0,0,0,0,0,0,0,0,0,0,Low
ID-987287,Small Facility ,960,30,1003,16-09-2015,1704732,12,0,0,0,0,0,0,0,0,High
ID-987287,Small Facility ,960,30,1003,16-10-2015,3409460,24,0,0,0,0,0,1612500,0,0,High
ID-987287,Small Facility ,960,30,1003,16-11-2015,6818920,48,0,0,0,0,0,1935000,0,0,High
ID-987287,Small Facility ,960,30,1003,17-12-2015,6818920,48,0,0,0,0,0,1.29E+06,0,0,High
ID-987288,Large Facility ,840,40,1003,16-01-2014,3409460,24,0,0,0,0,0,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-02-2014,6137028,45,0,0,0,0,0,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,18-03-2014,6818920,48,0,0,0,0,0,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,18-04-2014,13637844,99,307622,774000,0,0,645000,3225000,0,0,Low
ID-987288,Large Facility ,840,40,1003,19-05-2014,23866224,171,0,0,0,0,322500,2.58E+06,0,322500,Low
ID-987288,Large Facility ,840,40,1003,16-06-2014,68189216,492,0,782600,0,0,2257500,3547500,0,0,Low
ID-987288,Large Facility ,840,40,1003,17-07-2014,10228384,75,0,0,0,0,645000,3225000,645000,322500,Low
ID-987288,Large Facility ,840,40,1003,16-08-2014,10228384,75,0,645000,0,0,967500,2257500,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-09-2014,10228384,75,550400,0,0,0,2.58E+06,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-10-2014,13637844,99,0,380120,0,0,2902500,322500,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-11-2014,17047304,123,0,1248952.2,0,645000,1935000,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,17-12-2014,13637844,99,0,1258395,0,322500,1935000,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-01-2015,13637844,99,0,262300,0,1612500,645000,0,322500,0,Low
ID-987288,Large Facility ,840,40,1003,16-02-2015,10228384,75,0,0,0,1.29E+06,967500,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,18-03-2015,9205544,66,0,559000,0,645000,1612500,645000,0,0,Low
ID-987288,Large Facility ,840,40,1003,18-04-2015,13637844,99,0,0,0,0,1.29E+06,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,19-05-2015,17047304,123,709500,0,0,0,3547500,322500,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-06-2015,13637844,99,0,3921926.8,0,0,2902500,2257500,0,0,Low
ID-987288,Large Facility ,840,40,1003,17-07-2015,20797712,150,0,0,0,0,2.58E+06,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-08-2015,20456764,147,0,0,0,0,1.29E+06,0,0,0,Low
ID-987288,Large Facility ,840,40,1003,16-09-2015,27275684,198,0,0,0,0,645000,0,0,0,High
ID-987288,Large Facility ,840,40,1003,16-10-2015,28639472,207,0,0,0,0,1.29E+06,0,0,0,High
ID-987288,Large Facility ,840,40,1003,16-11-2015,40913528,294,0,0,0,0,645000,645000,0,0,High
ID-987288,Large Facility ,840,40,1003,17-12-2015,54551372,393,0,0,0,0,0,1935000,0,0,High
ID-987289,Large Facility ,800,30,1003,16-01-2014,0,0,0,0,0,0,0,0,0,322500,Low
ID-987289,Large Facility ,800,30,1003,16-02-2014,3409460,24,0,0,0,0,0,0,0,0,Low
ID-987289,Large Facility ,800,30,1003,18-03-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987289,Large Facility ,800,30,1003,18-04-2014,0,0,0,0,0,0,0,0,0,0,Low
ID-987289,Large Facility ,800,30,1003,19-05-2014,0,0,0,0,0,0,0,4192500,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-06-2014,3409460,24,0,0,0,0,0,3225000,0,0,Low
ID-987289,Large Facility ,800,30,1003,17-07-2014,0,0,0,1782762.8,0,0,967500,2.58E+06,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-08-2014,0,0,0,0,0,0,0,967500,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-09-2014,0,0,0,0,0,0,1.29E+06,1935000,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-10-2014,0,0,0,0,0,0,0,3547500,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-11-2014,3409460,24,0,0,0,0,967500,1612500,0,0,Low
ID-987289,Large Facility ,800,30,1003,17-12-2014,0,0,0,0,0,0,0,2257500,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-01-2015,0,0,0,1489588.8,0,0,967500,1612500,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-02-2015,0,0,0,0,0,0,0,2257500,0,0,Low
ID-987289,Large Facility ,800,30,1003,18-03-2015,0,0,0,0,0,0,0,0,0,0,Low
ID-987289,Large Facility ,800,30,1003,18-04-2015,3409460,24,0,0,0,0,0,1612500,0,0,Low
ID-987289,Large Facility ,800,30,1003,19-05-2015,0,0,0,0,0,0,1612500,0,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-06-2015,0,0,0,0,0,0,0,2.58E+06,0,0,Low
ID-987289,Large Facility ,800,30,1003,17-07-2015,0,0,0,0,0,0,0,3225000,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-08-2015,0,0,468700,0,0,0,0,1612500,0,0,Low
ID-987289,Large Facility ,800,30,1003,16-09-2015,3409460,24,0,0,0,0,0,0,0,0,High
ID-987289,Large Facility ,800,30,1003,16-10-2015,3409460,24,0,0,0,0,0,0,0,0,High
ID-987289,Large Facility ,800,30,1003,16-11-2015,0,0,0,0,0,0,0,967500,0,0,High
